0_0_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
1_1_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
2_2_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
3_3_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
4_4_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
5_5_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
6_6_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
7_7_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
8_8_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
9_9_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
10_10_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
11_11_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
12_12_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
13_13_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
14_14_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
15_15_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
16_16_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
17_17_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
18_18_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
19_19_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
20_20_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
21_21_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
22_22_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
23_23_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
24_24_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
25_25_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
26_26_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
27_27_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
28_28_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
29_29_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
30_30_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
31_31_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
32_32_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
33_33_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
34_34_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
35_35_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
36_36_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
37_37_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
38_38_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
39_39_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
40_40_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
41_41_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
42_42_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
43_43_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
44_44_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
45_45_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
46_46_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
47_47_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
48_48_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
49_49_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
50_50_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
51_51_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
52_52_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
53_53_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
54_54_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
55_55_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
56_56_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
57_57_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
58_58_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
59_59_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
60_60_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
61_61_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
62_62_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
63_63_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
64_64_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
65_65_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
66_66_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
67_67_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
68_68_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
69_69_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
70_70_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
71_71_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
72_72_28_60_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
73_73_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
74_74_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
75_75_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
76_76_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
77_77_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
78_78_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
79_79_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
80_80_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
81_81_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
82_82_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
83_83_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
84_84_412_73_0_23_32_64_0_0_0_0_0_24_0_[0, 64, 64, 0]_[0, 64, 65, 0]
