0_0_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
1_1_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
2_2_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
3_3_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
4_4_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
5_5_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
6_6_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
7_7_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
8_8_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
9_9_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
10_10_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
11_11_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
12_12_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
13_13_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
14_14_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
15_15_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
16_16_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
17_17_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
18_18_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
19_19_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
20_20_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
21_21_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
22_22_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
23_23_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
24_24_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
25_25_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
26_26_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
27_27_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
28_28_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
29_29_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
30_30_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
31_31_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
32_32_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
33_33_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
34_34_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
35_35_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
36_36_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
37_37_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
38_38_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
39_39_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
40_40_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
41_41_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
42_42_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
43_43_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
44_44_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
45_45_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
46_46_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
47_47_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
48_48_207_60_0_33_49_64_0_0_0_0_0_24_0_[0, 64, 1, 30]_[0, 64, 2, 0]
